counter,sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,timestamp,key_press
0,-229.20001220703125,123.30000305175781,202.31199645996094,-139.65000915527344,-121.35000610351562,371.7120056152344,7.650000095367432,-19.5,346.302001953125,66.75,-50.70000076293945,387.20001220703125,-258.75,93.45000457763672,310.9700012207031,-69.9000015258789,235.8000030517578,381.1499938964844,19.5,324.0,366.6300048828125,57.30000305175781,375.45001220703125,406.07598876953125,1756211923.4369397,none
1,-237.60000610351562,124.95000457763672,197.71400451660156,-140.40000915527344,-112.05000305175781,374.1319885253906,0.75,-28.500001907348633,345.57598876953125,66.60000610351562,-50.400001525878906,385.74798583984375,-260.4000244140625,99.45000457763672,304.1940002441406,-69.75,242.5500030517578,367.5979919433594,9.0,328.5,362.27398681640625,56.400001525878906,370.95001220703125,408.0119934082031,1756211923.440948,none
2,-231.75001525878906,122.55000305175781,206.1840057373047,-141.75,-113.10000610351562,368.3240051269531,3.0,-26.850000381469727,346.05999755859375,65.70000457763672,-54.60000228881836,385.5060119628906,-261.75,94.6500015258789,317.0199890136719,-70.95000457763672,234.60000610351562,371.4700012207031,13.500000953674316,327.0,356.46600341796875,54.750003814697266,370.20001220703125,417.6919860839844,1756211923.4444869,none
3,-231.75001525878906,121.35000610351562,194.5679931640625,-134.10000610351562,-113.25000762939453,373.16400146484375,-5.400000095367432,-23.100000381469727,342.6719970703125,66.75,-48.30000305175781,385.989990234375,-257.8500061035156,95.10000610351562,308.3079833984375,-72.30000305175781,232.65000915527344,356.95001220703125,17.55000114440918,329.25,371.4700012207031,53.55000305175781,371.1000061035156,403.41400146484375,1756211923.4484863,none
4,-231.90000915527344,119.85000610351562,195.29400634765625,-140.70001220703125,-120.1500015258789,373.64801025390625,1.9500000476837158,-24.600000381469727,350.8999938964844,70.80000305175781,-56.400001525878906,395.4280090332031,-269.4000244140625,96.1500015258789,307.3399963378906,-68.70000457763672,244.20001220703125,375.3420104980469,15.90000057220459,329.4000244140625,371.9540100097656,61.20000076293945,377.1000061035156,406.07598876953125,1756211923.4524865,none
5,-229.50001525878906,118.6500015258789,195.53599548339844,-141.0,-115.05000305175781,366.87200927734375,0.6000000238418579,-24.450000762939453,346.05999755859375,69.30000305175781,-43.650001525878906,387.6839904785156,-259.3500061035156,100.20000457763672,312.4219970703125,-72.0,240.15000915527344,363.72601318359375,12.450000762939453,321.1500244140625,363.0,52.35000228881836,368.5500183105469,407.2860107421875,1756211923.4566472,none
6,-232.95001220703125,120.9000015258789,200.37599182128906,-137.85000610351562,-114.1500015258789,377.5199890136719,6.450000286102295,-28.05000114440918,347.9960021972656,65.25,-52.05000305175781,388.4100036621094,-256.0500183105469,94.95000457763672,311.4540100097656,-72.60000610351562,238.50001525878906,370.5019836425781,16.650001525878906,325.5,368.3240051269531,57.900001525878906,369.6000061035156,398.5740051269531,1756211923.4606473,none
7,-232.35000610351562,122.4000015258789,197.71400451660156,-135.15000915527344,-122.10000610351562,366.38800048828125,2.700000047683716,-29.100000381469727,348.9639892578125,69.9000015258789,-50.400001525878906,398.5740051269531,-260.8500061035156,93.1500015258789,303.22601318359375,-76.35000610351562,237.15000915527344,376.0679931640625,15.450000762939453,326.8500061035156,363.0,51.000003814697266,368.1000061035156,399.5419921875,1756211923.4651732,none
8,-227.40000915527344,119.25000762939453,199.4080047607422,-136.35000610351562,-113.70000457763672,370.7439880371094,3.1500000953674316,-18.30000114440918,337.8320007324219,66.60000610351562,-51.30000305175781,389.135986328125,-252.15000915527344,104.25000762939453,314.1159973144531,-76.05000305175781,232.8000030517578,371.4700012207031,13.950000762939453,325.5,371.2279968261719,48.0,370.0500183105469,400.0260009765625,1756211923.4691727,none
9,-232.8000030517578,125.70000457763672,200.37599182128906,-136.35000610351562,-118.20000457763672,372.67999267578125,4.950000286102295,-23.55000114440918,337.1059875488281,67.80000305175781,-54.150001525878906,383.3280029296875,-259.8000183105469,94.95000457763672,315.32598876953125,-74.70000457763672,235.0500030517578,368.0820007324219,14.700000762939453,329.1000061035156,369.53399658203125,45.150001525878906,375.9000244140625,399.29998779296875,1756211923.4734387,none
