counter,sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,timestamp
2201,-230.85000610351562,121.20000457763672,202.31199645996094,-133.0500030517578,-132.45001220703125,366.14599609375,-12.0,-52.20000076293945,336.8639831542969,74.55000305175781,-69.9000015258789,395.66998291015625,-262.5,98.55000305175781,304.6780090332031,-73.35000610351562,216.90000915527344,379.94000244140625,29.850000381469727,291.1500244140625,357.1919860839844,50.85000228881836,353.1000061035156,404.8659973144531,1755952218.241926
2202,-221.10000610351562,123.75000762939453,199.4080047607422,-137.85000610351562,-136.0500030517578,363.24200439453125,-15.90000057220459,-51.60000228881836,347.7539978027344,72.0,-67.80000305175781,387.4419860839844,-256.8000183105469,100.50000762939453,311.2120056152344,-76.6500015258789,218.25001525878906,368.5660095214844,24.750001907348633,291.3000183105469,370.260009765625,51.000003814697266,349.6500244140625,404.6239929199219,1755952218.245396
2203,-223.95001220703125,120.00000762939453,204.00599670410156,-136.8000030517578,-133.8000030517578,362.27398681640625,-15.750000953674316,-55.05000305175781,347.2699890136719,66.9000015258789,-70.6500015258789,380.9079895019531,-261.3000183105469,87.1500015258789,307.0979919433594,-64.20000457763672,220.8000030517578,375.583984375,27.450000762939453,294.1500244140625,369.04998779296875,48.750003814697266,349.5,403.89801025390625,1755952218.2498894
2204,-226.0500030517578,124.95000457763672,210.5399932861328,-131.25,-130.35000610351562,365.41998291015625,-10.5,-54.30000305175781,348.72198486328125,69.45000457763672,-70.05000305175781,398.8160095214844,-262.5,92.85000610351562,309.760009765625,-72.0,212.70001220703125,369.53399658203125,25.05000114440918,291.75,364.6940002441406,56.55000305175781,353.1000061035156,408.2539978027344,1755952218.2537851
2205,-222.00001525878906,119.55000305175781,187.30799865722656,-138.0,-138.45001220703125,363.9679870605469,-7.200000286102295,-42.900001525878906,348.9639892578125,69.45000457763672,-72.0,392.52398681640625,-253.35000610351562,96.9000015258789,307.8240051269531,-73.80000305175781,214.65000915527344,367.5979919433594,31.650001525878906,291.9000244140625,372.19598388671875,51.900001525878906,352.3500061035156,405.5920104980469,1755952218.2577963
2206,-227.5500030517578,113.4000015258789,199.89199829101562,-139.20001220703125,-132.3000030517578,365.6619873046875,-11.40000057220459,-48.750003814697266,350.8999938964844,65.70000457763672,-69.45000457763672,395.4280090332031,-255.00001525878906,99.00000762939453,312.17999267578125,-72.60000610351562,214.65000915527344,373.64801025390625,28.200000762939453,296.25,370.260009765625,46.5,354.9000244140625,408.0119934082031,1755952218.2618053
2207,-228.00001525878906,126.60000610351562,210.05599975585938,-139.8000030517578,-137.40000915527344,362.5159912109375,-9.450000762939453,-46.650001525878906,345.333984375,75.0,-68.10000610351562,397.12200927734375,-258.0,96.0,303.22601318359375,-76.5,216.60000610351562,372.67999267578125,24.750001907348633,292.20001220703125,372.67999267578125,54.45000076293945,351.45001220703125,400.510009765625,1755952218.2658222
2208,-228.60000610351562,124.80000305175781,198.68199157714844,-138.45001220703125,-136.65000915527344,368.5660095214844,-9.75,-49.20000076293945,347.7539978027344,73.95000457763672,-73.20000457763672,401.9620056152344,-262.0500183105469,95.85000610351562,313.14801025390625,-75.60000610351562,213.3000030517578,370.5019836425781,27.900001525878906,288.3000183105469,360.3380126953125,50.400001525878906,355.20001220703125,403.41400146484375,1755952218.2691467
2209,-228.90000915527344,117.9000015258789,201.1020050048828,-138.3000030517578,-131.70001220703125,364.9360046386719,-15.600000381469727,-50.85000228881836,340.7359924316406,69.30000305175781,-71.55000305175781,390.5880126953125,-258.45001220703125,95.85000610351562,308.7919921875,-78.1500015258789,212.85000610351562,380.42401123046875,24.900001525878906,285.75,368.3240051269531,57.45000076293945,351.6000061035156,403.89801025390625,1755952218.2732337
2210,-229.65000915527344,122.85000610351562,190.21200561523438,-141.45001220703125,-131.25,372.9219970703125,-10.200000762939453,-50.70000076293945,340.010009765625,70.80000305175781,-69.75,391.3139953613281,-256.0500183105469,95.4000015258789,308.3079833984375,-74.70000457763672,209.40000915527344,375.3420104980469,28.05000114440918,297.6000061035156,366.14599609375,48.0,353.4000244140625,402.2040100097656,1755952218.2772872
2211,-226.0500030517578,119.25000762939453,200.37599182128906,-135.3000030517578,-140.5500030517578,367.3559875488281,-8.40000057220459,-49.05000305175781,343.8819885253906,68.55000305175781,-68.10000610351562,395.66998291015625,-257.25,93.1500015258789,309.51800537109375,-67.80000305175781,219.3000030517578,377.5199890136719,25.500001907348633,293.8500061035156,366.14599609375,54.000003814697266,355.95001220703125,407.5279846191406,1755952218.281898
2212,-220.95001220703125,123.1500015258789,193.8419952392578,-142.20001220703125,-142.95001220703125,363.24200439453125,-8.550000190734863,-51.30000305175781,347.7539978027344,75.1500015258789,-68.25,390.5880126953125,-259.20001220703125,95.85000610351562,302.9840087890625,-73.05000305175781,212.40000915527344,368.3240051269531,27.000001907348633,302.70001220703125,362.5159912109375,49.80000305175781,349.6500244140625,403.41400146484375,1755952218.2863007
2213,-226.50001525878906,121.35000610351562,210.5399932861328,-137.25,-130.35000610351562,376.0679931640625,-8.100000381469727,-52.650001525878906,340.2519836425781,71.10000610351562,-67.05000305175781,400.26800537109375,-255.90000915527344,90.60000610351562,307.8240051269531,-80.10000610351562,211.35000610351562,373.64801025390625,29.55000114440918,295.0500183105469,370.260009765625,54.60000228881836,350.25,403.41400146484375,1755952218.2903004
2214,-225.3000030517578,121.20000457763672,203.03799438476562,-139.95001220703125,-133.8000030517578,370.7439880371094,-16.650001525878906,-51.000003814697266,343.6399841308594,70.20000457763672,-66.75,389.6199951171875,-254.85000610351562,92.55000305175781,314.6000061035156,-74.55000305175781,215.5500030517578,380.6659851074219,26.55000114440918,290.4000244140625,365.90399169921875,57.45000076293945,355.20001220703125,403.1719970703125,1755952218.293823
2215,-229.0500030517578,119.4000015258789,197.22999572753906,-132.75,-137.40000915527344,363.72601318359375,-3.9000000953674316,-52.650001525878906,340.2519836425781,67.80000305175781,-70.95000457763672,393.9759826660156,-262.95001220703125,98.55000305175781,318.95599365234375,-68.4000015258789,214.35000610351562,376.79400634765625,31.200000762939453,286.3500061035156,359.12799072265625,50.55000305175781,349.6500244140625,407.5279846191406,1755952218.297308
2216,-224.40000915527344,122.25000762939453,197.22999572753906,-141.3000030517578,-136.65000915527344,362.27398681640625,-12.300000190734863,-50.55000305175781,349.20599365234375,67.80000305175781,-70.80000305175781,398.3320007324219,-250.95001220703125,97.05000305175781,312.906005859375,-68.55000305175781,206.70001220703125,382.60198974609375,26.55000114440918,293.5500183105469,366.38800048828125,47.85000228881836,355.0500183105469,411.1579895019531,1755952218.3020852
2217,-225.60000610351562,114.30000305175781,193.11599731445312,-139.65000915527344,-134.5500030517578,366.87200927734375,-13.950000762939453,-49.20000076293945,342.6719970703125,69.30000305175781,-71.25,394.7019958496094,-251.25001525878906,94.05000305175781,302.25799560546875,-70.05000305175781,214.50001525878906,379.2139892578125,22.350000381469727,299.4000244140625,364.4519958496094,50.400001525878906,348.9000244140625,407.2860107421875,1755952218.306156
2218,-226.65000915527344,117.9000015258789,196.74600219726562,-139.8000030517578,-133.35000610351562,368.8079833984375,-11.700000762939453,-50.250003814697266,344.1239929199219,67.05000305175781,-69.1500015258789,393.49200439453125,-256.95001220703125,96.45000457763672,315.32598876953125,-79.80000305175781,211.0500030517578,373.16400146484375,22.200000762939453,289.95001220703125,365.41998291015625,50.70000076293945,357.9000244140625,401.4779968261719,1755952218.3101428
2219,-225.15000915527344,119.55000305175781,206.66799926757812,-135.0,-135.15000915527344,370.5019836425781,-3.450000047683716,-55.05000305175781,342.6719970703125,72.0,-74.85000610351562,398.0899963378906,-261.9000244140625,97.35000610351562,316.29400634765625,-75.60000610351562,215.10000610351562,371.4700012207031,32.55000305175781,295.3500061035156,366.38800048828125,52.20000076293945,350.8500061035156,407.04400634765625,1755952218.3135006
2220,-225.75001525878906,119.70000457763672,202.31199645996094,-137.85000610351562,-141.3000030517578,366.38800048828125,-11.40000057220459,-52.05000305175781,336.62200927734375,70.95000457763672,-74.55000305175781,382.843994140625,-254.5500030517578,93.1500015258789,307.0979919433594,-65.4000015258789,220.35000610351562,365.1780090332031,31.950000762939453,290.25,370.5019836425781,51.750003814697266,349.5,410.19000244140625,1755952218.3180945
2221,-220.20001220703125,116.70000457763672,208.8459930419922,-138.90000915527344,-129.3000030517578,362.5159912109375,-10.200000762939453,-54.150001525878906,347.2699890136719,71.85000610351562,-68.25,397.3639831542969,-255.45001220703125,94.80000305175781,310.7279968261719,-74.70000457763672,210.90000915527344,370.01800537109375,23.100000381469727,286.8000183105469,367.5979919433594,48.0,352.0500183105469,398.3320007324219,1755952218.3221076
2222,-221.10000610351562,116.4000015258789,195.53599548339844,-137.25,-133.95001220703125,362.5159912109375,-4.800000190734863,-52.95000076293945,352.593994140625,74.55000305175781,-76.35000610351562,395.9119873046875,-252.3000030517578,90.0,308.54998779296875,-73.80000305175781,214.35000610351562,378.97198486328125,29.100000381469727,294.0,377.7619934082031,49.500003814697266,349.6500244140625,403.89801025390625,1755952218.3254843
2223,-224.40000915527344,119.70000457763672,202.31199645996094,-140.70001220703125,-136.65000915527344,370.5019836425781,-15.90000057220459,-46.650001525878906,339.28399658203125,73.80000305175781,-73.35000610351562,398.0899963378906,-257.8500061035156,98.25000762939453,302.25799560546875,-70.80000305175781,220.65000915527344,378.2460021972656,29.55000114440918,295.0500183105469,373.16400146484375,53.10000228881836,355.5,407.2860107421875,1755952218.3296711
2224,-223.20001220703125,127.35000610351562,200.13400268554688,-141.60000610351562,-136.95001220703125,364.9360046386719,-11.550000190734863,-51.60000228881836,342.91400146484375,64.80000305175781,-70.80000305175781,395.9119873046875,-258.1500244140625,95.10000610351562,306.1300048828125,-73.5,214.65000915527344,381.1499938964844,30.30000114440918,295.5,364.2099914550781,49.500003814697266,354.45001220703125,396.15399169921875,1755952218.3338645
2225,-225.45001220703125,124.95000457763672,195.29400634765625,-138.3000030517578,-136.95001220703125,367.1139831542969,-12.15000057220459,-53.400001525878906,345.333984375,72.75,-72.60000610351562,389.37799072265625,-258.3000183105469,92.85000610351562,303.9519958496094,-71.70000457763672,214.35000610351562,382.60198974609375,29.250001907348633,295.6500244140625,368.0820007324219,52.20000076293945,352.0500183105469,412.3680114746094,1755952218.3378503
