1, s, 20:30:40.648
2, u, 20:30:40.658
3, d, 20:30:40.671
4, o, 20:30:40.684
5,  , 20:30:40.695
6, m, 20:30:40.708
7, k, 20:30:40.722
8, f, 20:30:40.736
9, s, 20:30:40.751
10, ., 20:30:40.763
11, e, 20:30:40.776
12, x, 20:30:40.788
13, t, 20:30:40.801
14,  , 20:30:40.812
15, /, 20:30:40.826
16, d, 20:30:40.838
17, e, 20:30:40.851
18, v, 20:30:40.864
19, /, 20:30:40.878
20, s, 20:30:40.890
21, d, 20:30:40.903
22, a, 20:30:40.918
23,  , 20:30:40.930
24, u, 20:30:40.945
25, b, 20:30:40.957
26, g, 20:30:40.969
27, f, 20:30:40.984
28, a, 20:30:40.998
29, ., 20:30:41.010
30, y, 20:30:41.022
31, m, 20:30:41.033
