counter,sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,timestamp
1652,-257.70001220703125,-5.850000381469727,311.93798828125,-65.55000305175781,-276.45001220703125,366.14599609375,3.450000047683716,-186.45001220703125,334.2019958496094,59.10000228881836,-205.0500030517578,396.63800048828125,-182.70001220703125,54.30000305175781,332.99200439453125,-43.20000076293945,134.5500030517578,364.9360046386719,21.0,99.9000015258789,361.7900085449219,51.000003814697266,86.55000305175781,400.0260009765625,1755918657.313834
1653,-258.9000244140625,-0.75,314.1159973144531,-60.45000076293945,-279.0,372.19598388671875,3.450000047683716,-190.95001220703125,336.13800048828125,61.05000305175781,-206.70001220703125,389.86199951171875,-182.40000915527344,48.0,340.2519836425781,-35.400001525878906,135.0,363.24200439453125,25.350000381469727,100.20000457763672,367.5979919433594,51.900001525878906,84.9000015258789,411.6419982910156,1755918657.3158307
1654,-260.70001220703125,8.100000381469727,301.2900085449219,-65.55000305175781,-278.70001220703125,369.53399658203125,2.5500001907348633,-192.45001220703125,344.1239929199219,63.000003814697266,-207.75001525878906,381.8760070800781,-179.40000915527344,52.500003814697266,343.39801025390625,-40.20000076293945,128.25,369.04998779296875,24.150001525878906,103.35000610351562,366.87200927734375,54.000003814697266,79.6500015258789,402.92999267578125,1755918657.3208694
1655,-254.10000610351562,3.1500000953674316,313.14801025390625,-69.45000457763672,-274.5,372.67999267578125,5.400000095367432,-191.5500030517578,333.9599914550781,62.250003814697266,-208.50001525878906,391.3139953613281,-187.0500030517578,54.750003814697266,347.2699890136719,-34.20000076293945,136.5,358.885986328125,23.400001525878906,102.75000762939453,368.0820007324219,54.900001525878906,81.1500015258789,405.833984375,1755918657.3248672
1656,-256.5,-3.9000000953674316,311.93798828125,-63.000003814697266,-271.6500244140625,365.6619873046875,9.450000762939453,-190.20001220703125,333.9599914550781,60.000003814697266,-206.70001220703125,391.5559997558594,-175.0500030517578,54.45000076293945,340.7359924316406,-39.150001525878906,136.35000610351562,363.4840087890625,26.100000381469727,103.05000305175781,361.5480041503906,49.500003814697266,81.9000015258789,407.04400634765625,1755918657.3278863
1657,-255.75001525878906,6.150000095367432,317.5039978027344,-65.55000305175781,-273.9000244140625,369.2919921875,3.750000238418579,-188.85000610351562,345.8179931640625,61.80000305175781,-211.50001525878906,389.37799072265625,-183.45001220703125,54.150001525878906,343.39801025390625,-37.80000305175781,135.3000030517578,360.3380126953125,19.5,93.1500015258789,373.8899841308594,52.650001525878906,87.75,403.1719970703125,1755918657.332161
1658,-249.15000915527344,4.5,315.083984375,-64.35000610351562,-281.1000061035156,366.14599609375,6.150000095367432,-196.35000610351562,344.6080017089844,59.10000228881836,-206.85000610351562,390.8299865722656,-179.40000915527344,53.250003814697266,339.28399658203125,-34.05000305175781,133.5,370.260009765625,21.75,99.45000457763672,368.5660095214844,52.80000305175781,83.70000457763672,403.1719970703125,1755918657.3361526
1659,-263.70001220703125,0.30000001192092896,309.2760009765625,-62.70000076293945,-277.20001220703125,359.3699951171875,11.25,-191.85000610351562,338.79998779296875,66.60000610351562,-205.50001525878906,385.989990234375,-178.35000610351562,54.60000228881836,337.5899963378906,-33.900001525878906,136.8000030517578,370.260009765625,26.250001907348633,100.20000457763672,369.7760009765625,48.0,82.95000457763672,408.4960021972656,1755918657.340429
1660,-260.8500061035156,-0.15000000596046448,308.3079833984375,-64.35000610351562,-274.5,369.04998779296875,7.200000286102295,-192.0,344.1239929199219,64.80000305175781,-205.35000610351562,386.9580078125,-180.75,51.000003814697266,346.05999755859375,-36.0,137.70001220703125,369.53399658203125,18.900001525878906,100.95000457763672,366.87200927734375,52.20000076293945,84.9000015258789,404.6239929199219,1755918657.344417
1661,-254.10000610351562,-5.550000190734863,309.51800537109375,-68.70000457763672,-275.25,369.2919921875,7.800000190734863,-189.3000030517578,331.2980041503906,62.85000228881836,-205.50001525878906,389.135986328125,-177.15000915527344,52.95000076293945,340.4939880371094,-35.10000228881836,133.20001220703125,370.7439880371094,21.30000114440918,100.6500015258789,371.7120056152344,57.30000305175781,84.30000305175781,411.3999938964844,1755918657.3489466
1662,-253.95001220703125,-1.0500000715255737,307.5820007324219,-65.85000610351562,-272.4000244140625,360.09600830078125,5.700000286102295,-194.70001220703125,334.9280090332031,61.500003814697266,-202.8000030517578,383.08599853515625,-172.8000030517578,56.250003814697266,338.0740051269531,-35.10000228881836,137.85000610351562,373.64801025390625,20.100000381469727,104.70000457763672,372.9219970703125,50.70000076293945,90.30000305175781,408.4960021972656,1755918657.3529575
1663,-255.00001525878906,2.5500001907348633,317.0199890136719,-65.25,-277.95001220703125,368.3240051269531,6.150000095367432,-191.5500030517578,337.1059875488281,56.10000228881836,-209.10000610351562,389.6199951171875,-183.75,58.500003814697266,338.3160095214844,-35.25,131.5500030517578,366.14599609375,21.900001525878906,102.30000305175781,363.24200439453125,53.400001525878906,85.95000457763672,400.510009765625,1755918657.3569565
1664,-252.45001220703125,-0.9000000357627869,308.54998779296875,-65.55000305175781,-269.5500183105469,368.0820007324219,-0.9000000357627869,-193.50001525878906,341.4620056152344,62.400001525878906,-204.00001525878906,395.66998291015625,-187.95001220703125,55.20000076293945,349.20599365234375,-41.400001525878906,129.45001220703125,369.7760009765625,19.5,98.4000015258789,360.5799865722656,41.25,83.85000610351562,406.3179931640625,1755918657.3605087
1665,-255.90000915527344,-3.0,302.74200439453125,-66.9000015258789,-276.9000244140625,367.5979919433594,6.450000286102295,-192.0,341.94598388671875,58.95000076293945,-205.95001220703125,383.08599853515625,-181.20001220703125,58.80000305175781,337.8320007324219,-37.35000228881836,133.5,366.14599609375,17.25,99.1500015258789,360.09600830078125,51.900001525878906,80.55000305175781,408.9800109863281,1755918657.36451
1666,-255.00001525878906,-6.450000286102295,320.8919982910156,-63.900001525878906,-270.1500244140625,369.2919921875,3.6000001430511475,-195.45001220703125,339.76800537109375,60.900001525878906,-205.35000610351562,389.6199951171875,-178.95001220703125,52.20000076293945,334.6860046386719,-39.900001525878906,136.35000610351562,368.8079833984375,22.350000381469727,106.6500015258789,367.3559875488281,50.10000228881836,84.75,411.8840026855469,1755918657.3690248
1667,-254.10000610351562,5.400000095367432,311.2120056152344,-62.10000228881836,-274.0500183105469,365.41998291015625,3.9000000953674316,-193.0500030517578,340.2519836425781,62.400001525878906,-200.5500030517578,389.86199951171875,-180.60000610351562,48.30000305175781,341.4620056152344,-39.0,132.0,368.5660095214844,17.400001525878906,97.20000457763672,361.7900085449219,46.650001525878906,83.55000305175781,410.67401123046875,1755918657.3720233
